TIMES,VPU,CPU,THERMOCOUPLE
3567.9329092502594,64.07817077636719,61.3,49.25
3569.9036676883698,64.02609252929688,62.8,49.25
3570.905387878418,64.75025177001953,61.8,49.0
3571.9063427448273,64.69794464111328,61.3,48.5
3572.908766269684,64.80010223388672,61.3,49.0
3573.909938097,64.23246002197266,61.3,49.0
3575.9074399471283,65.00788879394531,62.8,49.0
3577.9060719013214,64.4921646118164,63.3,49.0
3578.908016204834,64.43981170654297,62.8,49.0
3579.9090518951416,64.5947036743164,62.8,49.0
3580.910845041275,64.54241180419922,62.3,49.5
3581.9162905216217,64.59535217285156,61.8,49.0
3582.918928384781,64.38897705078125,62.3,49.0
3584.917516708374,64.59595489501953,62.8,49.0
3586.247873544693,64.07746124267578,61.3,49.25
3587.916221857071,64.85332489013672,62.3,49.25
3588.9314770698547,64.23435974121094,63.3,49.25
3589.9351556301117,64.23300170898438,62.3,49.0
3592.1644053459167,64.5439224243164,62.8,49.0
3593.6245336532593,64.69934844970703,61.3,48.75
3594.942301273346,64.75003051757812,62.3,49.0
3595.9435777664185,64.7509994506836,61.8,49.25
3596.9446806907654,64.59611511230469,61.8,49.5
3597.9468445777893,64.74980926513672,61.3,49.25
3598.9491560459137,64.80167388916016,60.8,48.75
3600.945344209671,64.54364776611328,63.3,49.25
3601.9544813632965,65.00653839111328,62.8,48.75
3602.955983400345,65.0608901977539,62.3,49.25
3604.960506439209,64.9056167602539,62.3,48.75
3605.963227033615,64.699462890625,61.8,49.25
3606.9680454730988,64.75007629394531,61.8,49.25
3608.9663424491882,64.49156951904297,61.3,49.25
3609.9698972702026,64.74954223632812,62.3,49.0
3610.9702808856964,64.38827514648438,61.8,49.25
3612.966805458069,64.43975067138672,62.8,49.25
3613.967754125595,64.59319305419922,63.3,49.0
3614.968870639801,64.07860565185547,62.3,48.75
3616.855768918991,64.95753479003906,62.8,49.5
3617.9754745960236,64.33749389648438,60.8,49.0
3618.9786279201508,64.595458984375,62.3,49.25
3619.9794902801514,64.59503173828125,62.8,49.25
3620.9802253246307,63.92295837402344,61.8,48.75
3621.981788635254,64.33700561523438,62.8,48.75
3623.988270998001,64.44062042236328,63.7,49.25
3625.9910073280334,64.38908386230469,63.3,49.25
3626.992841243744,64.59420776367188,62.8,49.25
3627.9981944561005,64.95640563964844,62.8,49.5
3629.0010528564453,64.23355102539062,62.8,49.25
3630.002496957779,64.69930267333984,63.3,49.0
3631.0059802532196,64.43872833251953,61.8,49.0
3632.008519411087,64.59589385986328,62.8,48.75
3634.3855590820312,65.05986022949219,62.3,49.25
3636.014947414398,64.54315948486328,63.3,49.0
3637.0157566070557,64.5439682006836,62.8,49.25
3638.016229391098,64.54380798339844,63.3,49.25
3639.3259692192078,64.90599822998047,63.3,49.25
3641.023583173752,65.21566772460938,62.8,49.25
3642.02632188797,64.85418701171875,62.3,49.25
3643.02898979187,64.4408950805664,62.3,49.5
3644.0305325984955,64.75029754638672,63.3,49.0
3646.029728412628,64.8545150756836,62.8,49.25
3648.026980638504,64.69842529296875,62.8,49.25
3649.0283966064453,64.38691711425781,62.3,49.25
3650.093163728714,64.1824951171875,63.3,48.5
3652.034877061844,64.54342651367188,61.8,48.5
3653.037214756012,64.49081420898438,62.3,48.5
3654.0385925769806,64.44003295898438,62.8,49.5
3655.039402246475,64.18216705322266,61.3,49.25
3656.0409636497498,64.85488891601562,61.8,49.0
3657.043178319931,64.33651733398438,62.3,49.25
3658.0474927425385,64.90507507324219,62.8,49.25
3659.0481991767883,64.64716339111328,62.3,49.25
3660.0496633052826,65.11091613769531,62.8,49.0
3661.0542838573456,64.80172729492188,63.3,49.0
3663.0551903247833,64.69886779785156,62.3,49.25
3664.0623030662537,64.64716339111328,62.8,49.25
3665.0643770694733,64.95694732666016,62.3,49.25
3666.067470550537,64.28519439697266,62.3,49.25
3667.076546907425,64.75062561035156,62.3,49.0
3669.0754590034485,65.00530242919922,61.3,49.0
3671.070256948471,64.8022689819336,62.8,49.5
3672.074788093567,64.54315948486328,61.3,49.5
